Sr No.,Quality,Item,Color/Range,Size,Op. Stock,Total IN/Pur.,Total OUT/Sale,Net Stock
1,NA,Kadi-01 [1],Satin,-,115,0,125,-10
2,NA,Kadi-02 [1],Satin,-,216,0,80,136
3,NA,Kadi-04 [1],CPTT,-,-274,0,59,-333
4,NA,Kadi-05 [1],Antique,-,36,0,29,7
5,NA,Kadi-06 [1],Antique,-,281,0,70,211
6,NA,Kadi-07 [1],Antique,-,8,0,1,7
7,NA,Kadi-08 [1],Gold,-,105,0,0,105
8,NA,Kadi-08 [1],Black,-,165,0,7,158
9,NA,Kadi-08 [1],Antique,-,38,0,0,38
10,NA,Kadi-09 [1],B. Satin,-,42,101,12,131
11,NA,Kadi-09 [1],Satin,-,66,0,47,19
12,NA,Kadi-10 [1],B. Satin,-,73,0,22,51
13,NA,Kadi-10 [1],Satin,-,142,0,57,85
14,NA,Kadi-11 [1],Matt,"4""",-413,0,160,-573
15,NA,Kadi-11 [1],Matt,"3""",-524,0,225,-749
16,NA,Kadi-12 [1],CPTT,-,-2199,0,66,-2265
17,NA,Kadi-13 [1],CPTT,-,-1520,0,54,-1574
18,NA,Kadi-14 [1],Black,-,0,200,22,178
19,NA,Kadi-14 [1],PVD-GOLD,-,0,195,3,192
20,NA,Kadi-15 [1],Antique-Gold,-,0,200,0,200
21,NA,Kadi-15 [1],Black,-,0,199,0,199
22,NA,Kadi-15 [1],PVD-ROSE GOLD,-,0,200,0,200
23,NA,Kadi-16 [1],PVD-ROSE GOLD,-,0,196,7,189
24,NA,Kadi-16 [1],Black,-,0,200,0,200